[2026-07-21T12:58:57.395Z] GET https://samoschet.online/app.html → 200 (470ms, 12391B)
[2026-07-21T12:58:57.868Z] GET https://fonts.googleapis.com/css2?family=PT+Serif:ital,wght@0,400;0,700;1,400&display=swap → 200 (291ms, 1071B)
[2026-07-21T12:58:58.229Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qWVyvVp8NAyIw.woff2 → pending (?ms, ?B)
[2026-07-21T12:58:58.229Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qSVyvVp8NA.woff2 → pending (?ms, ?B)
[2026-07-21T12:58:58.409Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qcVyvVp8NAyIw.woff2 → 200 (188ms, 8869B)
[2026-07-21T12:59:01.180Z] GET https://samoschet.online/ → pending (?ms, ?B)
[2026-07-21T12:59:03.216Z] GET https://fonts.googleapis.com/css2?family=PT+Serif:ital,wght@0,400;0,700;1,400&display=swap → 200 (41ms, ?B)
[2026-07-21T12:59:03.261Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qWVyvVp8NAyIw.woff2 → 200 (?ms, ?B)
[2026-07-21T12:59:03.262Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qcVyvVp8NAyIw.woff2 → pending (?ms, ?B)
[2026-07-21T12:59:03.401Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qSVyvVp8NA.woff2 → 200 (?ms, -815B)
[2026-07-21T12:59:03.408Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRTQgYoZZY2vCFuvAFT_rm1cgT9rct48Q.woff2 → 200 (56ms, 10293B)
[2026-07-21T12:59:03.429Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRTQgYoZZY2vCFuvAFT_r21cgT9rcs.woff2 → 200 (83ms, 14331B)
[2026-07-21T12:59:03.432Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRVQgYoZZY2vCFuvAFWzr-_dSb_.woff2 → 200 (80ms, 13518B)
[2026-07-21T13:08:47.912Z] GET file:///private/tmp/claude-501/-Users-jopajopish-Desktop/2bc7f944-dbd3-4c4a-9960-4540bf4d09ea/scratchpad/og.html → pending (?ms, ?B)
[2026-07-21T13:08:48.038Z] GET https://fonts.googleapis.com/css2?family=PT+Serif:ital,wght@0,700;1,400&display=swap → 200 (285ms, 580B)
[2026-07-21T13:08:48.353Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qWVyvVp8NAyIw.woff2 → 200 (2ms, -814B)
[2026-07-21T13:08:48.353Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRTQgYoZZY2vCFuvAFT_rm1cgT9rct48Q.woff2 → 200 (2ms, -814B)
[2026-07-21T13:08:48.353Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qSVyvVp8NA.woff2 → 200 (2ms, -815B)
[2026-07-21T13:08:48.353Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRTQgYoZZY2vCFuvAFT_r21cgT9rcs.woff2 → 200 (3ms, -815B)
[2026-07-21T13:19:13.036Z] GET file:///Users/jopajopish/Desktop/samoschet/kalkulyator/index.html → 200 (?ms, 11397B)
[2026-07-21T13:19:13.051Z] GET https://fonts.googleapis.com/css2?family=PT+Serif:ital,wght@0,400;0,700;1,400&display=swap → 200 (9ms, -698B)
[2026-07-21T13:19:13.128Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qWVyvVp8NAyIw.woff2 → 200 (2ms, -814B)
[2026-07-21T13:19:13.128Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qSVyvVp8NA.woff2 → 200 (3ms, -815B)
[2026-07-21T13:19:13.128Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qcVyvVp8NAyIw.woff2 → 200 (3ms, -814B)
[2026-07-21T13:19:13.341Z] GET file:///Users/jopajopish/Desktop/samoschet/index.html → 200 (2ms, 20115B)
[2026-07-21T13:19:13.346Z] GET https://fonts.googleapis.com/css2?family=PT+Serif:ital,wght@0,400;0,700;1,400&display=swap → 200 (3ms, -698B)
[2026-07-21T13:19:13.380Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qWVyvVp8NAyIw.woff2 → 200 (1ms, -814B)
[2026-07-21T13:19:13.380Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRTQgYoZZY2vCFuvAFT_rm1cgT9rct48Q.woff2 → 200 (2ms, -814B)
[2026-07-21T13:19:13.380Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qSVyvVp8NA.woff2 → 200 (3ms, -815B)
[2026-07-21T13:19:13.380Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRVQgYoZZY2vCFuvAFWzr-_dSb_.woff2 → 200 (5ms, -815B)
[2026-07-21T13:19:13.380Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRTQgYoZZY2vCFuvAFT_r21cgT9rcs.woff2 → 200 (5ms, -815B)
[2026-07-21T13:19:13.380Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qcVyvVp8NAyIw.woff2 → 200 (5ms, -814B)
[2026-07-21T13:19:13.572Z] GET file:///Users/jopajopish/Desktop/samoschet/slovar/nalogovyj-vychet/index.html → 200 (1ms, 7978B)
[2026-07-21T13:19:13.579Z] GET https://fonts.googleapis.com/css2?family=PT+Serif:ital,wght@0,400;0,700;1,400&display=swap → 200 (2ms, -698B)
[2026-07-21T13:19:13.585Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qWVyvVp8NAyIw.woff2 → 200 (?ms, -814B)
[2026-07-21T13:19:13.585Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qSVyvVp8NA.woff2 → 200 (2ms, -815B)
[2026-07-21T13:19:13.585Z] GET https://fonts.gstatic.com/s/ptserif/v19/EJRSQgYoZZY2vCFuvAnt66qcVyvVp8NAyIw.woff2 → 200 (1ms, -814B)
